variable_name,description,source,origin_dataset,relevant_URLs,output_relation
total_amount_rep_special_without_LTS1_smallind,"Total amount of all individual contributions with small donations (less than 200) going to Republican candidates in special elections only before the date of the special election in that district-cycle, if applicable (measured in dollars)",DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_4 (or OUTPUT_4_2)
tran_count_rep_special_without_LTS1_smallind,Number of transactions for total_amount_rep_special_without_LTS1_smallind,DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_4 (or OUTPUT_4_2)
district_color_35_65,"First, we compute average vote share of Democratic Presidential nominee in the district in the closest Presidential election (var: district.pres.vs) across all cycles. Second, if this is between 35 and 65, we assign value 'C'. We assign value 'D' if this average is above 65, and value 'R' otherwise.",DIME data,dime_recipients_1979_2024.csv,https://data.stanford.edu/dime,OUTPUT_5
district_color_30_70,"Similar to district_color_35_65, but we use 30 and 70 as thresholds.",DIME data,dime_recipients_1979_2024.csv,https://data.stanford.edu/dime,OUTPUT_5
district_color_40_60,"Similar to district_color_35_65, but we use 40 and 60 as thresholds.",DIME data,dime_recipients_1979_2024.csv,https://data.stanford.edu/dime,OUTPUT_5
totalvotes,Total number of votes in general elections in that district-cycle,MIT_eMIT elections data,1976-2022-house.csv,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/IG0UN2,OUTPUT_6
G_dem,Vote share of Democratic candidate in general elections,MIT_eMIT elections data,1976-2022-house.csv,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/IG0UN2,OUTPUT_6
G_rep,Vote share of Republican candidate in general elections,MIT_eMIT elections data,1976-2022-house.csv,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/IG0UN2,OUTPUT_6
G_dispersion,Absolute difference between G_dem and G_rep,MIT_eMIT elections data,1976-2022-house.csv,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/IG0UN2,OUTPUT_6
num_candidates,Number of candidates running in general elections,MIT_eMIT elections data,1976-2022-house.csv,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/IG0UN2,OUTPUT_6
G_dispersion_lag,Lag of G_dispersion,MIT_eMIT elections data,1976-2022-house.csv,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/IG0UN2,OUTPUT_6
P_max_dem,Vote share of Democratic candidates with highest vote share in primary elections,DIME data,dime_recipients_1979_2024.csv,https://data.stanford.edu/dime,OUTPUT_6
P_min_dem,Vote share of Democratic candidates with second highest vote share in primary elections,DIME data,dime_recipients_1979_2024.csv,https://data.stanford.edu/dime,OUTPUT_6
P_dispersion_dem,Absolute difference between P_max_dem and P_min_dem,DIME data,dime_recipients_1979_2024.csv,https://data.stanford.edu/dime,OUTPUT_6
num_candidates_dem,Number of candidates running in Democratic primary elections,DIME data,dime_recipients_1979_2024.csv,https://data.stanford.edu/dime,OUTPUT_6
P_dispersion_dem_lag,Lag of P_dispersion_dem,DIME data,dime_recipients_1979_2024.csv,https://data.stanford.edu/dime,OUTPUT_6
P_max_rep,Vote share of Republican candidates with highest vote share in primary elections,DIME data,dime_recipients_1979_2024.csv,https://data.stanford.edu/dime,OUTPUT_6
P_min_rep,Vote share of Republican candidates with second highest vote share in primary elections,DIME data,dime_recipients_1979_2024.csv,https://data.stanford.edu/dime,OUTPUT_6
P_dispersion_rep,Absolute difference between P_max_rep and P_min_rep,DIME data,dime_recipients_1979_2024.csv,https://data.stanford.edu/dime,OUTPUT_6
num_candidates_rep,Number of candidates running in Republican primary elections,DIME data,dime_recipients_1979_2024.csv,https://data.stanford.edu/dime,OUTPUT_6
P_dispersion_rep_lag,Lag of P_dispersion_rep,DIME data,election_dates.csv,https://data.stanford.edu/dime,OUTPUT_6
Election_day,Date of the general election held at that election cycle.,ChatGPT,dime_recipients_1979_2024.csv,,OUTPUT_6
spec_cycle,"Year of election cycle when special elections took place. Death cycle is assumed known when treatment values appear. If empty, then death_cycle variable not equal to cycle variable.",Wikipedia,special_elections_final.csv,https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_7
death_date,"Date when incumbent passed away. In terms of time, this is when we consider a district-cycle observation to be treated (for the first time at least).",Wikipedia,special_elections_final.csv,https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_7
special_elections_date,"Date when special elections took place, following death of incumbent.",Wikipedia,special_elections_final.csv,https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_7
dead_member_margin,Margin of votes (in percent) by how much deceased incumbent won in the last election before they passed away.,Wikipedia,special_elections_final.csv,https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_7
spec_winner_margin,Margin of votes (in percent) by how new district representative won in the special elections following the incumbent's death.,Wikipedia,special_elections_final.csv,https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_7
runoff,Dummy indicating whether there was a runoff in special elections,Wikipedia,special_elections_final.csv,https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_7
treat_1,"First dummy we use to measure the impact of the death of an incumbent on contributions. For single death districts, we assign values of 0 before death of the incumbent, 1 at the district-cycle when the first (and only) death occurs and all following cycles. For multiple death districts, we assume the first death is the only death, hence the same logic is repeated. Otherwise, variable will always have zero values if districts are not part of the treatment (i.e., has never experienced the death of an incumbent).",Author (from merged datasets),"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_7
treat_2,"Second dummy we use to measure the impact of the death of an incumbent on contributions. For single death districts, we repeat the logic we used for these districts in treat_1. For multiple death districts, we assign 0 to all cycles coming before the first death of an incumbent in that district's history, 1 at the district-cycle when the first death occurs. In the new election cycle the values are set back to 0, and only assigned 1 again at the following death. This is repeated for the second death, and all other deaths. Otherwise, variable will always have zero values if districts are not part of the treatment (i.e., has never experienced the death of an incumbent).",Author (from merged datasets),"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_7
treat_3,"Third dummy we use to measure the impact of the death of an incumbent on contributions. For single death districts, we assign 0 to all cycles coming before the first (only) death of an incumbent in that district's history, 1 at the district-cycle when the first (only) death occurs. In the new election cycle the values are set back to 0. For multiple death districts, we repeat the logic we used for these districts in treat_2, so 1 for all treated district-cycles, else 0 for all other untreated rows.",Author (from merged datasets),"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_7
death_unexpected_1,"Dummy variable tied with death_age_1 and death_party_1, which all have non-missing values if there was a death in the district's history (based on whether treat_1 is 1). Indicates if death of candidate was unexpected or not (1 or 0), based on the cause of the death. This value is constant for entire district, if applicable, otherwise it will have missing values if districts are not part of the treatment (i.e., has never experienced the death of an incumbent).",ChatGPT ; Wikipedia,special_elections_final.csv,https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_7
death_age_1,"Numerical variable tied with death_unexpected_1 and death_party_1, which all have non-missing values if there was a death in the district's history (based on whether treat_1 is 1). Indicates age at which candidate passed away. This value is constant for entire district, if applicable, otherwise it will have missing values if districts are not part of the treatment (i.e., has never experienced the death of an incumbent).",ChatGPT ; Wikipedia,special_elections_final.csv,https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_7
death_party_1,"Categorical variable tied with death_unexpected_1 and death_age_1, which all have non-missing values if there was a death in the district's history (based on whether treat_1 is 1). Indicates party of candidate ('R' - Republican, 'D' - Democrat). This value is constant for entire district, if applicable, otherwise it will have missing values if districts are not part of the treatment (i.e., has never experienced the death of an incumbent).",ChatGPT ; Wikipedia,special_elections_final.csv,https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_7
death_unexpected_2,"Dummy variable tied with death_age_2 and death_party_2, which all have non-missing values if there was a death in the district's history (based on whether treat_2 is 1). Indicates if death of candidate was unexpected or not (1 or 0), based on the cause of the death. This value is constant for all cycles coming before the first death, value switches accordingly at district-cycle of second death and thereafter, and again if other deaths are present after the second one. If a district-cycle is between two district-cycle rows that have experienced deaths, we assign the previous death's values of the variable. Otherwise, the variable will have missing values if districts are not part of the treatment (i.e., has never experienced the death of an incumbent).",ChatGPT ; Wikipedia,special_elections_final.csv,https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_7
death_age_2,"Numerical variable tied with death_unexpected_2 and death_party_2, which all have non-missing values if there was a death in the district's history (based on whether treat_2 is 1). Indicates age at which candidate passed away. This value is constant for all cycles coming before the first death, value switches accordingly at district-cycle of second death and thereafter, and again if other deaths are present after the second one. If a district-cycle is between two district-cycle rows that have experienced deaths, we assign the previous death's values of the variable. Otherwise, the variable will have missing values if districts are not part of the treatment (i.e., has never experienced the death of an incumbent).",ChatGPT ; Wikipedia,special_elections_final.csv,https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_7
death_party_2,"Categorical variable tied with death_unexpected_2 and death_age_2, which all have non-missing values if there was a death in the district's history (based on whether treat_2 is 1). Indicates party of candidate ('R' - Republican, 'D' - Democrat). This value is constant for all cycles coming before the first death, value switches accordingly at district-cycle of second death and thereafter, and again if other deaths are present after the second one. If a district-cycle is between two district-cycle rows that have experienced deaths, we assign the previous death's values of the variable. Otherwise, the variable will have missing values if districts are not part of the treatment (i.e., has never experienced the death of an incumbent).",ChatGPT ; Wikipedia,special_elections_final.csv,https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_7
death_unexpected_3,"Dummy variable tied with death_age_3 and death_party_3, which all have non-missing values if there was a death in the district's history (based on whether treat_3 is 1). Indicates if death of candidate was unexpected or not (1 or 0), based on the cause of the death.",ChatGPT ; Wikipedia,special_elections_final.csv,https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_7
death_age_3,"Numerical variable tied with death_unexpected_3 and death_party_3, which all have non-missing values if there was a death in the district's history (based on whether treat_3 is 1). Indicates age at which candidate passed away.",ChatGPT ; Wikipedia,special_elections_final.csv,https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_7
death_party_3,"Categorical variable tied with death_unexpected_3 and death_age_3, which all have non-missing values if there was a death in the district's history (based on whether treat_3 is 1). Indicates party of candidate ('R' - Republican, 'D' - Democrat). ",ChatGPT ; Wikipedia,special_elections_final.csv,https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_7
spec_member,String variable indicating the full name of incumbent (candidate) that either resigned or passed away at that specific district-cycle. Missing values if no candidate passed away or resigned at that district-cycle.,ChatGPT ; Wikipedia,special_elections_final.csv,https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_7
special_elections_cause,"String variable indicating the cause of vacancy and, therefore, special elections (either 'Resigned' or 'Death').",ChatGPT ; Wikipedia,special_elections_final.csv,https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_7
special_elections,"Dummy variable indicating if special elections occurred on that district-cycle (1, yes, 0, not).",ChatGPT ; Wikipedia,special_elections_final.csv,https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_7
avg_counting_hedging_corp,"Average number of candidates (in general election only, and before the special election) funded by corporations in the district/cycle",DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_8
avg_counting_hedging_corp_dem_primary,"Average number of Democratic candidates (in primary election only, and before the special election) funded by corporations in the district/cycle",DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_8
avg_counting_hedging_corp_rep_primary,"Average number of Republican candidates (in primary election only, and before the special election) funded by corporations in the district/cycle",DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_8
hedging_money_general_corp,"The index of extensive-margin hedging is computed as the absolute difference between a corporation’s contributions to Republican and Democratic candidates in a given district and election cycle (only for general election, before the special election). This captures the extent to which a firm biases its contributions toward one party over the other. The index is constructed taking the average of this difference across corporations in the same district and cycle. ",DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_8
hedging_money_dem_primary_corp,"Similar to hedging_money_general, but look at corporate contributions going to Democratic primaries.",DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_8
hedging_money_rep_primary_corp,"Similar to hedging_money_general, but look at corporate contributions going to Republican primaries.",DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_8
avg_counting_hedging_ind,"Average number of candidates (in general election only, and before the special election) funded by individuals in the district/cycle",DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_8
avg_counting_hedging_ind_dem_primary,"Average number of Democratic candidates (in primary election only, and before the special election) funded by individuals in the district/cycle",DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_8
avg_counting_hedging_ind_rep_primary,"Average number of Republican candidates (in primary election only, and before the special election) funded by individuals in the district/cycle",DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_8
hedging_money_general_ind,"Same as hedging_money_general_corp, but for contributions coming from inidviduals.",DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_8
hedging_money_dem_primary_ind,"Similar to hedging_money_general_ind, but look at individual contributions going to Democratic primaries.",DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_8
hedging_money_rep_primary_ind,"Similar to hedging_money_general, but look at individual contributions going to Republican primaries.",DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_8
avg_counting_hedging_smallind,"Average number of candidates (in general election only, and before the special election) funded by individuals with small donations (less than 200) in the district/cycle",DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_8
avg_counting_hedging_smallind_dem_primary,"Average number of Democratic candidates (in primary election only, and before the special election) funded by individuals with small donations (less than 200) in the district/cycle",DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_8
avg_counting_hedging_smallind_rep_primary,"Average number of Republican candidates (in primary election only, and before the special election) funded by individuals with small donations (less than 200) in the district/cycle",DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_8
hedging_money_general_smallind,"Same as hedging_money_general_corp, but for contributions coming from individuals with small donations (less than 200).",DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_8
hedging_money_dem_primary_smallind,"Similar to hedging_money_general_smallind, but look at individual contributions with small donations (less than 200) going to Democratic primaries.",DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_8
hedging_money_rep_primary_smallind,"Similar to hedging_money_general_smallind, but look at individual contributions with small donations (less than 200) going to Republican primaries.",DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_8
cfscore_mean_prim_dem,"Average CFscore of candidates in the Democratic primary (computed using recipient.cfscores.dyn, and recipient.cfscores when former not available)",DIME data,contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv,https://data.stanford.edu/dime,OUTPUT_9
cfscore_mean_prim_rep,"Average CFscore of candidates in the Republican primary (computed using recipient.cfscores.dyn, and recipient.cfscores when former not available)",DIME data,contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv,https://data.stanford.edu/dime,OUTPUT_9
cfscore_prim_abs_diff,"Absolute value of difference between cfscore_mean_prim_dem and cfscore_mean_prim_rep, capturing the difference in ideology between the two parties in the primaries in the district-cycle.",DIME data,contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv,https://data.stanford.edu/dime,OUTPUT_9
cfscore_gen_dem,CFscore of Democratic candidate in general,DIME data,contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv,https://data.stanford.edu/dime,OUTPUT_9
cfscore_gen_rep,CFscore of Republican candidate in general,DIME data,contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv,https://data.stanford.edu/dime,OUTPUT_9
cfscore_gen_abs_diff,"Absolute value of difference between cfscore_mean_prim_dem and cfscore_mean_prim_rep, capturing the difference in ideology between the two parties in the general election in the district-cycle.",DIME data,contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv,https://data.stanford.edu/dime,OUTPUT_9
cfscore_mean_contrib,Average CFscore of all contributors (inidividual and corporate),DIME data,contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv,https://data.stanford.edu/dime,OUTPUT_9
cfscore_mean_contrib_dem,Average CFscore of all contributors (inidividual and corporate) donating to Democrats,DIME data,contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv,https://data.stanford.edu/dime,OUTPUT_9
cfscore_mean_contrib_rep,Average CFscore of all contributors (inidividual and corporate) donating to Republicans,DIME data,contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv,https://data.stanford.edu/dime,OUTPUT_9
total_amount_gen_np,Total amount of all contribution types going to general elections only in untreated district-cycle; going to general and special elections in treated district-cycle. Treatment of district-cycle is defined by treat_3 variable.,DIME data,contribDB_1980.csv to contribDB_2024.csv,https://data.stanford.edu/dime,OUTPUT_2_ext
tran_count_gen_np,Number of transactions for total_amount_gen_np.,DIME data,contribDB_1980.csv to contribDB_2024.csv,https://data.stanford.edu/dime,OUTPUT_2_ext
total_amount_gen_np_without_LTS1,Total amount of all contribution types going to general elections only before the date of the special election in untreated district-cycle; going to general and special elections in treated district-cycle. Treatment of district-cycle is defined by treat_3 variable.,DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_2
tran_count_gen_np_without_LTS1,Number of transactions for total_amount_gen_np_without_LTS1,DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_2
total_amount_dem_gen_np,Total amount of all contribution types going to Democratic candidate in general elections only in untreated district-cycle; to general and special elections in treated district-cycle (NP construction; treatment defined by treat_3).,DIME data,contribDB_1980.csv to contribDB_2024.csv,https://data.stanford.edu/dime,OUTPUT_2_ext
tran_count_dem_gen_np,Number of transactions for total_amount_dem_gen_np.,DIME data,contribDB_1980.csv to contribDB_2024.csv,https://data.stanford.edu/dime,OUTPUT_2_ext
total_amount_dem_gen_np_without_LTS1,Total amount to Democratic candidate before the special-election date in untreated district-cycles (general only); to general and special elections before the special-election date in treated district-cycles (NP construction; treatment defined by treat_3).,DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_2_ext
tran_count_dem_gen_np_without_LTS1,Number of transactions for total_amount_dem_gen_np_without_LTS1.,DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_2_ext
total_amount_rep_gen_np,Total amount of all contribution types going to Republican candidate in general elections only in untreated district-cycle; to general and special elections in treated district-cycle (NP construction; treatment defined by treat_3).,DIME data,contribDB_1980.csv to contribDB_2024.csv,https://data.stanford.edu/dime,OUTPUT_2_ext
tran_count_rep_gen_np,Number of transactions for total_amount_rep_gen_np.,DIME data,contribDB_1980.csv to contribDB_2024.csv,https://data.stanford.edu/dime,OUTPUT_2_ext
total_amount_rep_gen_np_without_LTS1,Total amount to Republican candidate before the special-election date in untreated district-cycles (general only); to general and special elections before the special-election date in treated district-cycles (NP construction; treatment defined by treat_3).,DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_2_ext
tran_count_rep_gen_np_without_LTS1,Number of transactions for total_amount_rep_gen_np_without_LTS1.,DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_2_ext
total_amount_gen_np_corp,Total corporate contributions to general elections only in untreated district-cycles; to general and special elections in treated district-cycles (NP construction; treatment defined by treat_3). Measured in dollars.,DIME data,contribDB_1980.csv to contribDB_2024.csv,https://data.stanford.edu/dime,OUTPUT_3_ext
tran_count_gen_np_corp,Number of transactions for total_amount_gen_np_corp.,DIME data,contribDB_1980.csv to contribDB_2024.csv,https://data.stanford.edu/dime,OUTPUT_3_ext
total_amount_gen_np_without_LTS1_corp,Corporate contributions before the special-election date under NP construction (general-only if untreated; general+special if treated).,DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_3_ext
tran_count_gen_np_without_LTS1_corp,Number of transactions for total_amount_gen_np_without_LTS1_corp.,DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_3_ext
total_amount_dem_gen_np_corp,Total corporate contributions to Democratic candidate under NP construction (general-only if untreated; general+special if treated).,DIME data,contribDB_1980.csv to contribDB_2024.csv,https://data.stanford.edu/dime,OUTPUT_3_ext
tran_count_dem_gen_np_corp,Number of transactions for total_amount_dem_gen_np_corp.,DIME data,contribDB_1980.csv to contribDB_2024.csv,https://data.stanford.edu/dime,OUTPUT_3_ext
total_amount_dem_gen_np_without_LTS1_corp,Corporate contributions to Democratic candidate before the special-election date (NP construction).,DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_3_ext
